"","participant_id","suicide","word","n"
"1",501,"always","life",1
"2",1077,"anything","like",1
"3",818,"die","dead",1
"4",893,"die","want",1
"5",187,"die","like",1
"6",743,"die","just",1
"7",66,"end","life",1
"8",1196,"end","life",1
"9",30,"family","better",1
"10",487,"family","better",1
"11",953,"family","better",1
"12",54,"family","without",1
"13",1051,"family","without",1
"14",23,"family","better",1
"15",108,"feel","often",1
"16",543,"feel","just",1
"17",1005,"feeling","just",1
"18",1102,"feeling","want",1
"19",458,"feeling","sometimes",1
"20",818,"get","feel",1
"21",901,"just","people",1
"22",18,"just","die",1
"23",543,"just","get",1
"24",446,"kill","think",1
"25",786,"kill","anything",1
"26",1129,"kill","sometimes",1
"27",242,"kill","feel",1
"28",458,"kill","sometimes",1
"29",541,"life","often",1
"30",1041,"life","without",1
"31",905,"life","much",1
"32",1029,"life","want",1
"33",679,"life","without",1
"34",501,"life","like",1
"35",947,"life","feel",1
"36",931,"life","like",1
"37",1199,"life","much",1
"38",480,"like","dead",1
"39",776,"like","really",1
"40",949,"like","want",1
"41",1133,"like","feeling",1
"42",1051,"like","things",1
"43",1151,"much","want",1
"44",853,"much","people",1
"45",386,"often","get",1
"46",574,"often","life",1
"47",818,"often","get",1
"48",828,"often","think",1
"49",901,"people","better",1
"50",242,"people","better",1
"51",102,"people","family",1
"52",624,"people","better",1
"53",607,"people","life",1
"54",1000,"plans","anything",1
"55",777,"really","life",1
"56",1222,"really","like",1
"57",377,"things","better",1
"58",648,"things","much",1
"59",599,"things","better",1
"60",1210,"things","better",1
"61",864,"things","get",1
"62",4,"think","plans",1
"63",893,"think","often",1
"64",18,"think","just",1
"65",22,"think","like",1
"66",380,"think","things",1
"67",1207,"think","just",1
"68",957,"think","every",1
"69",1129,"think","every",1
"70",189,"think","every",1
"71",952,"think","die",1
"72",1024,"think","much",1
"73",774,"think","things",1
"74",1011,"think","every",1
"75",1158,"think","anything",1
"76",1118,"think","every",1
"77",89,"want","like",1
"78",648,"want","anything",1
"79",949,"want","better",1
"80",1121,"want","like",1
"81",358,"want","kill",1
